Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
12/9/2022 21:57,12/10/2022 6:10,93%,8:13,:),Drank tea:Stressful day:Worked out,67,0
12/13/2022 0:08,12/13/2022 8:23,77%,8:14,:),Drank coffee,,0
12/13/2022 22:07,12/14/2022 6:09,80%,8:02,:),Drank coffee,52,0
12/15/2022 22:32,12/16/2022 6:10,75%,7:37,:),Drank coffee:Drank tea:Worked out,,0
12/16/2022 22:20,12/17/2022 5:40,84%,7:20,:),Drank coffee:Drank tea:Stressful day,,0
12/17/2022 21:07,12/18/2022 5:45,100%,8:37,:),Drank coffee:Drank tea:Worked out,,0
12/20/2022 22:19,12/21/2022 6:20,72%,8:00,:|,Drank coffee:Drank tea:Worked out,56,0
12/21/2022 22:06,12/22/2022 5:29,80%,7:23,:|,Drank coffee:Worked out,,0
12/22/2022 21:41,12/23/2022 5:43,82%,8:01,:),Drank coffee:Drank tea:Worked out,,0
12/23/2022 22:33,12/24/2022 6:01,79%,7:27,:),Drank coffee:Drank tea,,0
12/29/2022 22:44,12/30/2022 7:00,76%,8:16,:|,Drank coffee,,0
1/1/2016 23:53,1/2/2016 8:27,79%,8:33,:|,Drank coffee:Drank tea,71,0
1/2/2016 23:49,1/3/2016 8:13,85%,8:24,:),Drank coffee:Drank tea,65,0
1/3/2016 21:44,1/4/2016 5:35,69%,7:51,:),Drank coffee,,0
1/4/2016 22:17,1/5/2016 5:45,74%,7:28,:|,Drank coffee:Drank tea:Stressful day,,0
1/5/2016 22:18,1/6/2016 6:20,66%,8:01,:|,Drank coffee:Worked out,,0
1/13/2016 22:44,1/14/2016 6:20,72%,7:35,:|,Ate late:Drank coffee:Drank tea:Stressful day,,0
1/14/2016 22:10,1/15/2016 5:28,73%,7:17,:|,Drank coffee:Drank tea:Worked out,,0
1/17/2016 22:00,1/18/2016 5:30,76%,7:29,:|,Drank coffee:Drank tea:Worked out,,0
1/18/2016 21:56,1/19/2016 5:34,78%,7:38,,Ate late:Drank coffee:Drank tea,,0
1/19/2016 22:46,1/20/2016 6:35,75%,7:48,,Drank coffee:Drank tea:Worked out,,0
1/20/2016 21:13,1/21/2016 6:29,77%,9:15,,Drank coffee:Drank tea,,0
1/21/2016 21:33,1/22/2016 6:23,79%,8:50,,Drank coffee,,0
1/22/2016 22:17,1/23/2016 8:14,79%,9:57,,Drank coffee:Worked out,,0
1/24/2016 22:06,1/25/2016 6:30,85%,8:23,,Drank coffee:Drank tea:Worked out,,0
1/25/2016 22:27,1/26/2016 6:38,88%,8:10,,Drank coffee,,0
1/26/2016 22:58,1/27/2016 6:28,83%,7:29,,Drank coffee:Drank tea:Worked out,,0
1/27/2016 22:02,1/28/2016 5:23,84%,7:20,,Drank coffee:Drank tea:Worked out,,0
1/28/2016 22:11,1/29/2016 5:26,76%,7:15,,Drank coffee:Drank tea:Worked out,,0
1/29/2016 21:47,1/30/2016 6:06,88%,8:19,,Drank coffee:Drank tea:Worked out,,0
1/31/2016 22:58,2/1/2016 6:19,78%,7:20,,Drank coffee,,0
2/1/2016 22:02,2/2/2016 5:27,82%,7:25,,Drank coffee:Drank tea:Worked out,,0
2/2/2016 21:47,2/3/2016 5:20,72%,7:33,,Drank coffee:Worked out,,0
2/3/2016 22:54,2/4/2016 6:20,79%,7:26,,Drank coffee:Worked out,,0
2/4/2016 22:17,2/5/2016 6:53,74%,8:35,,Drank coffee:Stressful day:Worked out,,0
2/5/2016 23:45,2/6/2016 7:35,84%,7:50,,Drank coffee,,0
2/6/2016 22:55,2/7/2016 7:35,91%,8:40,,Drank tea,,0
